,game_key,winner_id,odd_team_1,odd_ml_1,odd_team_2,odd_ml_2
1488,201910221x00001f88,2,2,-116,29,-103
1489,201910221x00033582,16,26,-127,16,105
1490,201910221x00050e20,31,17,101,31,-121
1491,201910221x00003bd6,30,3,-101,30,-118
1492,201910221x000018d6,4,4,-143,15,119
1493,201910221x000544a2,20,20,-127,27,105
1494,201910221x00049bd8,21,21,-162,24,136
1495,201910221x00020470,25,13,102,25,-121
1496,201910221x000761ee,28,23,-148,28,124
1497,201910231x00000306,6,6,-136,3,113
1498,201910231x00003fac,7,7,-247,15,201
1499,201910241x00002efc,10,10,107,9,-127
1500,201910241x000046e6,26,26,-140,4,117
1501,201910241x00011bf4,14,17,-110,14,-108
1502,201910241x0003cef2,19,19,-154,24,129
1503,201910241x0003738a,27,27,110,16,-133
1504,201910241x00007e20,29,5,-143,29,120
1505,201910241x00034048,21,21,-184,20,154
1506,201910241x0001bd3c,12,12,-116,25,-103
1507,201910241x000006d8,13,13,104,2,-125
1508,201910241x0006c7a2,22,22,-183,28,153
1509,201910251x0000008e,2,3,-103,2,-116
1510,201910251x00017b50,25,11,-124,25,103
1511,201910251x00002022,12,6,106,12,-127
1512,201910251x00011c00,8,8,-197,29,164
1513,201910251x00043b2e,16,30,-110,16,-108
1514,201910251x0005a202,18,31,-169,18,141
1515,201910261x00000844,1,1,-173,22,145
1516,201910261x00007e10,9,9,-197,17,164
1517,201910261x00036fd2,24,18,-161,24,137
1518,201910261x00018f04,15,19,-127,15,103
1519,201910261x0005a6c0,20,20,-177,28,158
1520,201910261x00000b48,5,5,-142,8,118
1521,201910261x000069e4,14,14,-164,10,137
1522,201910261x00007888,21,7,-171,21,144
1523,201910261x0006661a,23,23,113,26,-136
1524,201910271x000426b4,17,17,-137,28,114
1525,201910271x000020e6,22,3,126,22,-151
1526,201910271x00004c42,4,27,-108,4,-111
1527,201910271x000093fa,12,12,-120,14,-100
1528,201910271x00000310,1,13,138,1,-165
1529,201910271x0000abb8,6,6,137,29,-164
1530,201910271x0009c14e,31,31,-251,24,204
1531,201910281x000017ac,25,2,-123,25,102
1532,201910281x00005d82,30,30,-134,4,112
1533,201910291x00057c46,24,24,-113,23,-106
1534,201910291x00000e10,1,1,-219,29,179
1535,201910291x00011bfc,9,9,-152,26,128
1536,201910291x0002afba,19,19,-157,20,132
1537,201910291x000030cc,3,3,103,27,-125
1538,201910291x00026350,21,21,-212,17,175
1539,201910291x000030b8,13,13,186,7,-227
1540,201910291x0000e04a,15,15,-145,14,121
1541,201910291x00005b08,16,8,-133,16,111
1542,201910301x00005eb0,5,25,-132,5,110
1543,201910301x000171a6,27,10,-156,27,130
1544,201910301x0000230e,4,18,-138,4,115
1545,201910301x000c51fa,30,28,-102,30,-117
1546,201910301x000023c4,7,11,109,7,-131
1547,201910301x00038dba,22,22,-189,20,157
1548,201910311x00056050,26,21,-168,26,140
1549,201910311x00008f88,5,31,-238,5,196
1550,201911011x00092796,24,24,-114,30,-106
1551,201911011x00000630,9,9,-279,3,224
1552,201911011x000232de,19,18,-147,19,122
1553,201911011x00007e0e,14,11,-119,14,-100
1554,201911011x000029fe,12,12,102,7,-123
1555,201911011x0007e698,23,29,-154,23,128
1556,201911011x0000f94c,22,22,-177,10,147
1557,201911011x00000a1a,16,16,-194,2,162
1558,201911021x0003b7ac,25,25,-148,18,124
1559,201911021x000000c4,1,1,-410,6,313
1560,201911021x000005e6,12,2,-122,12,100
1561,201911021x000037f0,11,9,-205,11,169
1562,201911021x000157b0,26,10,112,26,-134
1563,201911021x000037f8,19,19,-118,5,-101
1564,201911021x0000018a,4,4,-285,3,230
1565,201911021x000426b4,28,28,-133,17,111
1566,201911021x00038dba,22,20,-135,22,112
1567,201911021x000171a0,13,21,-269,13,216
1568,201911021x000046d6,8,14,110,8,-133
1569,201911021x00030e94,27,15,-203,27,167
1570,201911021x000d2f58,30,29,-143,30,120
1571,201911021x0008fd6c,23,31,-240,23,196
1572,201911031x00031594,17,24,-156,17,130
1573,201911031x00033582,16,16,-181,26,151
1574,201911041x00000400,1,1,-169,15,141
1575,201911041x00001e18,21,3,174,21,-212
1576,201911041x000813d0,25,27,-114,25,-105
1577,201911041x00002548,6,13,-169,6,142
1578,201911051x000432f4,20,24,-134,20,112
1579,201911051x0001e2f2,31,10,122,31,-146
1580,201911051x000782ac,26,26,-164,25,138
1581,201911051x000232de,19,19,-143,18,119
1582,201911051x00000090,5,5,-106,1,-113
1583,201911051x00002022,12,12,-276,6,222
1584,201911051x0000577c,14,14,-106,9,-113
1585,201911051x00047150,29,29,-164,17,137
1586,201911051x0001095c,8,8,-251,28,205
1587,201911051x0007bf70,22,30,-131,22,109
1588,201911051x00014324,11,23,-130,11,109
1589,201911061x000651ee,22,27,-145,22,122
1590,201911061x00000c28,13,13,-153,3,128
1591,201911071x00013eac,10,25,-157,10,131
1592,201911071x00004c30,13,9,-283,13,228
1593,201911071x00019916,26,26,-166,11,137
1594,201911071x0004be74,17,17,114,30,-136
1595,201911071x0002a930,18,18,117,21,-139
1596,201911071x00001c0c,16,4,-118,16,-102
1597,201911071x0000a866,15,12,-108,15,-111
1598,201911071x0000a072,6,6,102,28,-123
1599,201911071x00001f70,14,14,-120,5,101
1600,201911071x00060c50,29,29,-149,20,124
1601,201911071x0001432e,8,8,-153,31,128
1602,201911081x0000023a,7,2,145,7,-174
1603,201911081x00000040,3,3,207,1,-256
1604,201911081x0001b7fc,27,27,-164,11,138
1605,201911081x00086fc2,23,23,-124,30,102
1606,201911091x00048abc,20,25,-147,20,123
1607,201911091x0005e05c,22,26,-149,22,125
1608,201911091x0000aa08,18,18,-142,10,120
1609,201911091x000075d8,5,5,-208,28,172
1610,201911091x00001060,12,12,-115,4,-105
1611,201911091x000012fc,6,6,154,9,-185
1612,201911091x00014320,15,15,-221,17,181
1613,201911091x0006a360,29,29,104,21,-125
1614,201911091x0000023a,7,7,-175,2,146
1615,201911091x000046d6,14,8,-171,14,143
1616,201911091x0004823e,16,16,-125,31,105
1617,201911101x000777ba,27,24,-129,27,107
1618,201911101x00000384,14,1,-213,14,177
1619,201911101x00006614,17,17,-101,8,-119
1620,201911101x00003fc4,3,3,140,31,-168
1621,201911101x00001300,4,13,104,4,-125
1622,201911101x00021b6e,11,30,-174,11,145
1623,201911101x00038274,23,23,-118,19,-101
1624,201911111x000012fc,9,9,-260,6,210
1625,201911111x0002f9bc,25,16,-183,25,154
1626,201911121x000026e2,3,24,-172,3,143
1627,201911121x00000064,4,1,-168,4,140
1628,201911121x0005a6c0,28,28,-103,20,-117
1629,201911121x000010e0,5,5,-192,10,159
1630,201911121x0000c358,13,13,124,15,-149
1631,201911121x000ac168,29,29,-140,27,118
1632,201911121x000572ec,25,22,-172,25,143
1633,201911121x000716a0,30,30,104,21,-124
1634,201911121x00032aca,18,23,-122,18,100
1635,201911131x0004714e,19,26,-141,19,118
1636,201911131x00001b5e,6,11,-190,6,159
1637,201911131x0000352c,12,12,-116,8,-103
1638,201911131x0000fd3e,16,14,102,16,-122
1639,201911131x00050e20,17,31,-240,17,198
1640,201911141x000892c0,29,24,-103,29,-117
1641,201911141x0000037c,9,2,113,9,-136
1642,201911141x00044fd6,27,27,-134,18,111
1643,201911141x000037fe,23,4,-178,23,148
1644,201911141x0000345a,28,28,-153,3,128
1645,201911141x00048abc,20,20,-121,25,100
1646,201911141x000030b8,7,7,-282,13,227
1647,201911141x0005db86,19,30,-153,19,128
1648,201911151x0000f94c,10,10,-100,22,-120
1649,201911151x00008f74,11,11,-100,15,-120
1650,201911151x00002ad0,6,6,120,14,-144
1651,201911151x00000144,1,8,-119,1,-100
1652,201911151x00002868,5,16,-166,5,139
1653,201911161x000782ac,25,25,-117,26,-103
1654,201911161x00000484,16,1,-127,16,106
1655,201911161x000001b4,2,2,-196,6,163
